source_package,source_version,component,upstream_field,family,decision,relationship,representative,rationale,source_url
textdescriptives,2.8.4,descriptive_stats,n_tokens,length_productivity,retained,representative,n_tokens,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; len(F),https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,proportion_unique_tokens,lexical_diversity,retained,representative,proportion_unique_tokens,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; number of distinct token.lower_ / len(F),https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,token_length_mean,lexical_surface_complexity,retained,representative,token_length_mean,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; mean of len(token),https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,token_length_std,lexical_surface_complexity,retained,representative,token_length_std,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; population SD (ddof=0) of len(token),https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,sentence_length_mean,sentence_syntactic_complexity,retained,representative,sentence_length_mean,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; mean of len(F within sentence) across doc.sents,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,sentence_length_std,sentence_syntactic_complexity,retained,representative,sentence_length_std,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; population SD (ddof=0) of len(F within sentence) across doc.sents,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,pos_proportions,pos_prop_NOUN,pos_composition,retained,representative,pos_prop_noun,Count token.pos_ == NOUN divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_VERB,pos_composition,retained,representative,pos_prop_verb,Count token.pos_ == VERB divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_ADJ,pos_composition,retained,representative,pos_prop_adj,Count token.pos_ == ADJ divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_ADV,pos_composition,retained,representative,pos_prop_adv,Count token.pos_ == ADV divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_PRON,pos_composition,retained,representative,pos_prop_pron,Count token.pos_ == PRON divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_ADP,pos_composition,retained,representative,pos_prop_adp,Count token.pos_ == ADP divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_CCONJ,pos_composition,retained,representative,pos_prop_cconj,Count token.pos_ == CCONJ divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_SCONJ,pos_composition,retained,representative,pos_prop_sconj,Count token.pos_ == SCONJ divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,dependency_distance,dependency_distance_mean,dependency_characteristics,retained,representative,dependency_distance_mean,For each token distance=0 at ROOT else abs(token.head.i-token.i); include all tokens including ROOT and punctuation; mean across sentence mean distances; sentences weighted equally,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/dependency_distance.html
textdescriptives,2.8.4,dependency_distance,dependency_distance_std,dependency_characteristics,retained,representative,dependency_distance_std,For each token distance=0 at ROOT else abs(token.head.i-token.i); include all tokens including ROOT and punctuation; population SD (ddof=0) across sentence mean distances; sentences weighted equally,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/dependency_distance.html
