test_id,backend,provider,model_id,mode,endpoint,request_profile,reasoning_mode,env_var,catalog_status,catalog_checked_on,catalog_url
openai_gpt_5_6_sol_live,openai,OpenAI,gpt-5.6-sol,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_6_sol_batch,openai,OpenAI,gpt-5.6-sol,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_6_terra_live,openai,OpenAI,gpt-5.6-terra,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_6_terra_batch,openai,OpenAI,gpt-5.6-terra,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_6_luna_live,openai,OpenAI,gpt-5.6-luna,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_6_luna_batch,openai,OpenAI,gpt-5.6-luna,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_5_live,openai,OpenAI,gpt-5.5,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_5_batch,openai,OpenAI,gpt-5.5,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_4_live,openai,OpenAI,gpt-5.4,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_4_batch,openai,OpenAI,gpt-5.4,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_4_mini_live,openai,OpenAI,gpt-5.4-mini,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_4_mini_batch,openai,OpenAI,gpt-5.4-mini,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_4_nano_live,openai,OpenAI,gpt-5.4-nano,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_4_nano_batch,openai,OpenAI,gpt-5.4-nano,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_3_codex_live,openai,OpenAI,gpt-5.3-codex,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_3_codex_batch,openai,OpenAI,gpt-5.3-codex,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_2_live,openai,OpenAI,gpt-5.2,live,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
openai_gpt_5_2_batch,openai,OpenAI,gpt-5.2,batch,responses,openai_responses_default,provider-default,OPENAI_API_KEY,current,2026-09-05,https://developers.openai.com/api/docs/models/all
