"test_id","backend","provider","model_id","mode","endpoint","request_profile","reasoning_mode","env_var","catalog_status","catalog_checked_on","catalog_url","package_version","test_date","started_at_utc","duration_seconds","status","status_code","parsed_winner","error","remote_id","remote_status"
"openai_gpt_5_6_sol_batch","openai","OpenAI","gpt-5.6-sol","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d47ce0c8190bd8733487c2a8aa1","completed"
"openai_gpt_5_6_terra_batch","openai","OpenAI","gpt-5.6-terra","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d4b7e188190886bfe9f9e809815","completed"
"openai_gpt_5_6_luna_batch","openai","OpenAI","gpt-5.6-luna","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d4f2178819089593aec104e357d","completed"
"openai_gpt_5_5_batch","openai","OpenAI","gpt-5.5","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d5207188190b0c1b8e93f61e3b5","completed"
"openai_gpt_5_4_batch","openai","OpenAI","gpt-5.4","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"1","","batch_6a9c2d54d2d08190999d39a8eb607fef","completed"
"openai_gpt_5_4_mini_batch","openai","OpenAI","gpt-5.4-mini","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d575c78819082c8b94422266857","completed"
"openai_gpt_5_4_nano_batch","openai","OpenAI","gpt-5.4-nano","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d5a25fc8190beba6634898026bc","completed"
"openai_gpt_5_3_codex_batch","openai","OpenAI","gpt-5.3-codex","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"failed-remote",,"FALSE","failed","batch_6a9c2d5cb380819090cc0a75ffa01127","failed"
"openai_gpt_5_2_batch","openai","OpenAI","gpt-5.2","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d5f6e388190be1930cc41ebfdb1","completed"
"openai_gpt_5_1_batch","openai","OpenAI","gpt-5.1","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d6205008190b658f92e4a241886","completed"
"openai_gpt_5_batch","openai","OpenAI","gpt-5","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d65033481909d9f0a8e06440dd4","completed"
"openai_gpt_5_mini_batch","openai","OpenAI","gpt-5-mini","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"1","","batch_6a9c2d67ae648190ae7956c25b23719e","completed"
"openai_gpt_5_nano_batch","openai","OpenAI","gpt-5-nano","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d6aa9a08190bbf312854402ed7f","completed"
"openai_o3_batch","openai","OpenAI","o3","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d6d9b0081908d6dc84b533a79c4","completed"
"openai_gpt_4_1_batch","openai","OpenAI","gpt-4.1","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d70625881909eb1aa772b8592cd","completed"
"openai_gpt_4_1_mini_batch","openai","OpenAI","gpt-4.1-mini","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d72eef88190a5f84e0e718a51b9","completed"
"openai_gpt_4o_mini_batch","openai","OpenAI","gpt-4o-mini","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d75cc6481908a25854585fe0b85","completed"
"openai_gpt_4o_batch","openai","OpenAI","gpt-4o","batch","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batch_6a9c2d784bfc81909ce5ef5e76618f49","completed"
"anthropic_fable_5_1_batch","anthropic","Anthropic","claude-fable-5-1","batch","messages","anthropic_standard","none","ANTHROPIC_API_KEY","current","2026-09-05","https://platform.claude.com/docs/en/models/overview","1.3.1","2026-09-05","",,"passed",200,"TRUE","","msgbatch_01HPXBx6R9KA8r8bz82SUsXL","ended"
"anthropic_opus_5_batch","anthropic","Anthropic","claude-opus-5","batch","messages","anthropic_standard","none","ANTHROPIC_API_KEY","current","2026-09-05","https://platform.claude.com/docs/en/models/overview","1.3.1","2026-09-05","",,"passed",200,"TRUE","","msgbatch_01XSq3XT9s8TfhUMtj38divW","ended"
"anthropic_sonnet_5_batch","anthropic","Anthropic","claude-sonnet-5","batch","messages","anthropic_standard","none","ANTHROPIC_API_KEY","current","2026-09-05","https://platform.claude.com/docs/en/models/overview","1.3.1","2026-09-05","",,"passed",200,"TRUE","","msgbatch_0155DxLkTJy6GYvVP5VBRYNN","ended"
"anthropic_haiku_4_5_batch","anthropic","Anthropic","claude-haiku-4-5-20251001","batch","messages","anthropic_standard","none","ANTHROPIC_API_KEY","current","2026-09-05","https://platform.claude.com/docs/en/models/overview","1.3.1","2026-09-05","",,"passed",200,"TRUE","","msgbatch_012jSUacN1MNeyNPgxV8ApR8","ended"
"gemini_3_8_flash_batch","gemini","Google","gemini-3.8-flash","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batches/2hdhukicmy140i35lqaom9nkqio3amyw3rdj","BATCH_STATE_SUCCEEDED"
"gemini_3_7_flash_batch","gemini","Google","gemini-3.7-flash","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batches/59dkn8ux9pjxk0dlev216xu72szj6dwnclnw","BATCH_STATE_SUCCEEDED"
"gemini_3_6_flash_batch","gemini","Google","gemini-3.6-flash","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batches/pip0jmru04skikj46phb85gvdpn32vvgj6ly","BATCH_STATE_SUCCEEDED"
"gemini_3_5_flash_batch","gemini","Google","gemini-3.5-flash","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batches/slc3y0cb2hyk62k6m3yr20dvordqudriz3ow","BATCH_STATE_SUCCEEDED"
"gemini_3_5_flash_lite_batch","gemini","Google","gemini-3.5-flash-lite","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batches/76g7j0794gd542bkx3dwpxahsfz2hdfzgu2w","BATCH_STATE_SUCCEEDED"
"gemini_3_1_flash_lite_batch","gemini","Google","gemini-3.1-flash-lite","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batches/sd3nh9opbrkzs4donbzhateai3p1s853cz26","BATCH_STATE_SUCCEEDED"
"gemini_3_1_pro_preview_batch","gemini","Google","gemini-3.1-pro-preview","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","preview","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batches/fyinrmub19oaaomblmb3vkp3ya7pig3klfx5","BATCH_STATE_SUCCEEDED"
"gemini_3_flash_preview_batch","gemini","Google","gemini-3-flash-preview","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","preview","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"passed",200,"TRUE","","batches/daqrdmstelg9wx6tjslbjl2i4t5np9n5yuv7","BATCH_STATE_SUCCEEDED"
"gemini_2_5_flash_batch","gemini","Google","gemini-2.5-flash","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"failed-error-row",200,"FALSE","Response did not contain a parsed winner.","batches/66a0h7herc0xottf5vmd12tct6zs01qsq21d","BATCH_STATE_SUCCEEDED"
"gemini_2_5_flash_lite_batch","gemini","Google","gemini-2.5-flash-lite","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"failed-error-row",200,"FALSE","Response did not contain a parsed winner.","batches/d57z4hg9yfqehzo6hp3gaavjav5bv13f1x0f","BATCH_STATE_SUCCEEDED"
"gemini_2_5_pro_batch","gemini","Google","gemini-2.5-pro","batch","batchGenerateContent","gemini_low","thinking_level=low","GEMINI_API_KEY","current","2026-09-05","https://ai.google.dev/gemini-api/docs/models","1.3.1","2026-09-05","",,"failed-error-row",200,"FALSE","Response did not contain a parsed winner.","batches/48xb2ibr7ycsjjwywec3cn8m19laflreed60","BATCH_STATE_SUCCEEDED"
