source_package,source_version,component,upstream_field,family,decision,relationship,representative,rationale,source_url,inventory_position,schema,schema_position
textdescriptives,2.8.4,descriptive_stats,n_tokens,length_productivity,retained,frozen v1,n_tokens,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; len(F),https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html,1,writing_features_v2,1
textdescriptives,2.8.4,descriptive_stats,proportion_unique_tokens,lexical_diversity,retained,frozen v1,proportion_unique_tokens,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; number of distinct token.lower_ / len(F),https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html,2,writing_features_v2,2
textdescriptives,2.8.4,descriptive_stats,token_length_mean,lexical_surface_complexity,retained,frozen v1,token_length_mean,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; mean of len(token),https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html,3,writing_features_v2,3
textdescriptives,2.8.4,descriptive_stats,token_length_std,lexical_surface_complexity,retained,frozen v1,token_length_std,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; population SD (ddof=0) of len(token),https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html,4,writing_features_v2,4
textdescriptives,2.8.4,descriptive_stats,sentence_length_mean,sentence_syntactic_complexity,retained,frozen v1,sentence_length_mean,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; mean of len(F within sentence) across doc.sents,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html,5,writing_features_v2,5
textdescriptives,2.8.4,descriptive_stats,sentence_length_std,sentence_syntactic_complexity,retained,frozen v1,sentence_length_std,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; population SD (ddof=0) of len(F within sentence) across doc.sents,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html,6,writing_features_v2,6
textdescriptives,2.8.4,pos_proportions,pos_prop_NOUN,pos_composition,retained,frozen v1,pos_prop_noun,Count token.pos_ == NOUN divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html,7,writing_features_v2,7
textdescriptives,2.8.4,pos_proportions,pos_prop_VERB,pos_composition,retained,frozen v1,pos_prop_verb,Count token.pos_ == VERB divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html,8,writing_features_v2,8
textdescriptives,2.8.4,pos_proportions,pos_prop_ADJ,pos_composition,retained,frozen v1,pos_prop_adj,Count token.pos_ == ADJ divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html,9,writing_features_v2,9
textdescriptives,2.8.4,pos_proportions,pos_prop_ADV,pos_composition,retained,frozen v1,pos_prop_adv,Count token.pos_ == ADV divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html,10,writing_features_v2,10
textdescriptives,2.8.4,pos_proportions,pos_prop_PRON,pos_composition,retained,frozen v1,pos_prop_pron,Count token.pos_ == PRON divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html,11,writing_features_v2,11
textdescriptives,2.8.4,pos_proportions,pos_prop_ADP,pos_composition,retained,frozen v1,pos_prop_adp,Count token.pos_ == ADP divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html,12,writing_features_v2,12
textdescriptives,2.8.4,pos_proportions,pos_prop_CCONJ,pos_composition,retained,frozen v1,pos_prop_cconj,Count token.pos_ == CCONJ divided by len(doc); denominator includes punctuation and whitespace,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html,13,writing_features_v2,13
