"test_id","backend","provider","model_id","mode","endpoint","request_profile","reasoning_mode","env_var","catalog_status","catalog_checked_on","catalog_url","package_version","test_date","started_at_utc","duration_seconds","status","status_code","parsed_winner","error","remote_id","remote_status"
"openai_gpt_5_6_sol_live","openai","OpenAI","gpt-5.6-sol","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:28 UTC",4.520717,"passed",200,"TRUE","","",""
"openai_gpt_5_6_terra_live","openai","OpenAI","gpt-5.6-terra","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:33 UTC",2.090734,"passed",200,"TRUE","","",""
"openai_gpt_5_6_luna_live","openai","OpenAI","gpt-5.6-luna","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:35 UTC",2.187429,"passed",200,"TRUE","","",""
"openai_gpt_5_5_live","openai","OpenAI","gpt-5.5","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:37 UTC",2.682559,"passed",200,"TRUE","","",""
"openai_gpt_5_4_live","openai","OpenAI","gpt-5.4","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:40 UTC",1.93144,"passed",200,"TRUE","","",""
"openai_gpt_5_4_mini_live","openai","OpenAI","gpt-5.4-mini","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:42 UTC",2.2554,"passed",200,"TRUE","","",""
"openai_gpt_5_4_nano_live","openai","OpenAI","gpt-5.4-nano","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:44 UTC",2.218157,"passed",200,"TRUE","","",""
"openai_gpt_5_3_codex_live","openai","OpenAI","gpt-5.3-codex","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:46 UTC",1.837503,"passed",200,"TRUE","","",""
"openai_gpt_5_2_live","openai","OpenAI","gpt-5.2","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:48 UTC",2.129744,"passed",200,"TRUE","","",""
"openai_gpt_5_1_live","openai","OpenAI","gpt-5.1","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:50 UTC",2.341796,"passed",200,"TRUE","","",""
"openai_gpt_5_live","openai","OpenAI","gpt-5","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:53 UTC",3.733536,"passed",200,"TRUE","","",""
"openai_gpt_5_mini_live","openai","OpenAI","gpt-5-mini","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:47:56 UTC",3.385009,"passed",200,"TRUE","","",""
"openai_gpt_5_nano_live","openai","OpenAI","gpt-5-nano","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:48:00 UTC",2.851787,"passed",200,"TRUE","","",""
"openai_o3_live","openai","OpenAI","o3","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:48:03 UTC",3.274211,"passed",200,"TRUE","","",""
"openai_gpt_4_1_live","openai","OpenAI","gpt-4.1","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:48:06 UTC",2.455557,"passed",200,"TRUE","","",""
"openai_gpt_4_1_chat_live","openai","OpenAI","gpt-4.1","live","chat.completions","openai_chat_default","provider-default","OPENAI_API_KEY","supplemental","2026-09-05","https://developers.openai.com/api/docs/models/gpt-4.1","1.3.1","2026-09-05","2026-09-05 14:48:08 UTC",1.839712,"passed",200,"TRUE","","",""
"openai_gpt_4_1_mini_live","openai","OpenAI","gpt-4.1-mini","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:48:10 UTC",2.377694,"passed",200,"TRUE","","",""
"openai_gpt_4o_mini_live","openai","OpenAI","gpt-4o-mini","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:48:13 UTC",4.595816,"passed",200,"TRUE","","",""
"openai_gpt_4o_live","openai","OpenAI","gpt-4o","live","responses","openai_responses_default","provider-default","OPENAI_API_KEY","current","2026-09-05","https://developers.openai.com/api/docs/models/all","1.3.1","2026-09-05","2026-09-05 14:48:17 UTC",2.401226,"passed",200,"TRUE","","",""
"anthropic_fable_5_1_live","anthropic","Anthropic","claude-fable-5-1","live","messages","anthropic_standard","none","ANTHROPIC_API_KEY","current","2026-09-05","https://platform.claude.com/docs/en/models/overview","1.3.1","2026-09-05","2026-09-05 14:48:20 UTC",11.392127,"passed",200,"TRUE","","",""
"anthropic_opus_5_live","anthropic","Anthropic","claude-opus-5","live","messages","anthropic_standard","none","ANTHROPIC_API_KEY","current","2026-09-05","https://platform.claude.com/docs/en/models/overview","1.3.1","2026-09-05","2026-09-05 14:48:31 UTC",2.337393,"passed",200,"TRUE","","",""
"anthropic_sonnet_5_live","anthropic","Anthropic","claude-sonnet-5","live","messages","anthropic_standard","none","ANTHROPIC_API_KEY","current","2026-09-05","https://platform.claude.com/docs/en/models/overview","1.3.1","2026-09-05","2026-09-05 14:48:33 UTC",2.250263,"passed",200,"TRUE","","",""
