"backend","provider","model_id","endpoint","live_tested","batch_tested","reasoning_mode","package_version","test_date","status","notes","official_catalog_url"
"openai","OpenAI","gpt-5.6-sol","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.6-terra","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.6-luna","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.5","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.4","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.4-mini","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.4-nano","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.3-codex","responses","TRUE","FALSE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch failed-remote. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.2","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5.1","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5-mini","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-5-nano","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","o3","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-4.1","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-4.1","chat.completions","TRUE","FALSE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: supplemental.","https://developers.openai.com/api/docs/models/gpt-4.1"
"openai","OpenAI","gpt-4.1-mini","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
